School,id,Type,Function,Contact Name,Address,Town,State,Zip,Phone,Fax,Grade
Boston: Joseph P Tynan,350181,Public School,Principal,Leslie Gant,650 E. Fourth Street,South Boston,MA,2127,617-635-8641,617-635-9758,"PK,K,01,02,03,04,05"
Boston: Josiah Quincy,350286,Public School,Principal,Cynthia Soo hoo,885 Washington Street,Boston,MA,2111,617-635-8497,617-635-7778,"PK,K,01,02,03,04,05"
Boston: Joyce Kilmer,350190,Public School,Principal,Emily Berman,35 Baker Street,West Roxbury,MA,2132,617-635-8060,617-635-8063,"PK,K,01,02,03,04,05,06,07,08"
Boston: King K-8,350376,Public School,Principal,Grace Coleman,77 Lawrence Avenue,Dorchester,MA,2121,617-635-8212,617-635-9356,"PK,K,01,02,03,04,05,06,07,08"
Boston: Lilla G. Frederick Middle School,350383,Public School,Principal,Pauline Lugira,270 Columbia Road,Dorchester,MA,2121,617-635-1650,617-635-1637,"06,07,08"
Boston: Lyndon,350262,Public School,Principal,Kathleen Tunney,20 Mt. Vernon Street,West Roxbury,MA,2132,617-635-6824,617-635-6828,"PK,K,01,02,03,04,05,06,07,08"
Boston: Lyon K-8,350004,Public School,Principal,Deborah Rooney,50 Beechcroft Street,Brighton,MA,2135,617-635-7945,617-635-7949,"K,01,02,03,04,05,06,07,08"
Boston: Manassah E Bradley,350215,Public School,Principal,Claire Rheaume,110 Beachview Road,East Boston,MA,2128,617-635-8422,617-635-6927,"PK,K,01,02,03,04,05"
Boston: Mario Umana Academy,350656,Public School,Principal,Claudia Gutierrez,312 Border Street,East Boston,MA,2128,617-635-8481,617-635-9545,"PK,K,01,02,03,04,05,06,07,08"
Boston: Mather,350227,Public School,Principal,Rochelle Valdez,1 Parish Street,Dorchester,MA,2122,617-635-8757,617-635-8762,"PK,K,01,02,03,04,05"
Boston: Maurice J Tobin,350229,Public School,Principal,Efrain Toledano,40 Smith St,Roxbury,MA,2120,617-635-8393,617-635-7900,"PK,K,01,02,03,04,05,06,07,08"
Boston: Michael J Perkins,350231,Public School,Principal,Craig Martin,50 Burke Street,South Boston,MA,2127,617-635-8601,617-635-9774,"K,01,02,03,04,05"
Boston: Mildred Avenue K-8,350378,Public School,Principal,Andrew Rollins,5 Mildred Avenue,Mattapan,MA,2126,617-635-1642,617-635-1641,"PK,K,01,02,03,04,05,06,07,08"
Boston: Mission Hill School,350382,Public School,Principal,Ayla Gavins,20 Child Street,Jamaica Plain,MA,2130,617-635-8189,617-635-7835,"PK,K,01,02,03,04,05,06,07,08"
Boston: Mozart,350237,Public School,Principal,Michael Baulier,236 Beech Street,Roslindale,MA,2131,617-635-8082,617-635-8087,"PK,K,01,02,03,04,05"
Boston: Nathan Hale,350243,Public School,Principal,Romaine Mills-teque,51 Cedar Street,Roxbury,MA,2119,617-635-8205,617-635-8558,"PK,K,01,02,03,04,05"
Boston: O W Holmes,350138,Public School,Principal,Yeshi Gaskin,40 School Street,Dorchester,MA,2124,617-635-8681,617-635-8685,"PK,K,01,02,03,04,05"
Boston: O'Bryant School Math/Science,350575,Public School,Principal,Tanya Freeman-Wisdom,55 Malcolm X Blvd,Roxbury,MA,2120,617-635-9932,617-635-7769,"07,08,09,10,11,12"
Boston: Oliver Hazard Perry,350255,Public School,Principal,Geoffrey Rose,745 E. 7th Street,South Boston,MA,2127,617-635-8840,617-635-6387,"PK,K,01,02,03,04,05,06,07,08"
Boston: Orchard Gardens,350257,Public School,Principal,Megan Webb,906 Albany Street,Roxbury,MA,2119,617-635-1660,617-635-1634,"PK,K,01,02,03,04,05,06,07,08"
Boston: Patrick J Kennedy,350264,Public School,Principal,Kristen Goncalves,343 Saratoga Street,East Boston,MA,2128,617-635-8466,617-635-8469,"PK,K,01,02,03,04,05"
Boston: Paul A Dever,350268,Public School,Principal,Todd Fishburne,325 Mt Vernon Street,Dorchester,MA,2125,617-635-8694,617-635-8097,"PK,K,01,02,03,04,05"
Boston: Phineas Bates,350278,Public School,Principal,Rodolfo Morales,426 Beech Street,Roslindale,MA,2131,617-635-8064,617-635-8068,"PK,K,01,02,03,04,05"
Boston: Quincy Upper School,350565,Public School,Principal,Stephen Cirasuolo,152 Arlington Street,Boston,MA,2116,617-635-8940,617-635-1524,"06,07,08,09,10,11,12"
Boston: Rafael Hernandez,350691,Public School,Principal,Ana Tavares,61 School Street,Roxbury,MA,2119,617-635-8187,617-635-8190,"PK,K,01,02,03,04,05,06,07,08"
Boston: Richard J Murphy,350240,Public School,Principal,Courtney Sheppeck,1 Worrell Street,Dorchester,MA,2122,617-635-8781,617-635-8787,"PK,K,01,02,03,04,05,06,07,08"
Boston: Roger Clap,350298,Public School,Principal,Marcia Riddick,35 Harvest Street,Dorchester,MA,2125,617-635-8672,617-635-6389,"PK,K,01,02,03,04,05"
Boston: Samuel Adams,350302,Public School,Principal,Joanna Mckeigue-cruz,165 Webster Street,East Boston,MA,2128,617-635-8383,617-635-7822,"PK,K,01,02,03,04,05"
Boston: Samuel W Mason,350304,Public School,Principal,Lauretta Lewis-medley,150 Norfolk Avenue,Roxbury,MA,2119,617-635-8405,617-635-8406,"PK,K,01,02,03,04,05"
Boston: Sarah Greenwood,350308,Public School,Principal,Karla Gandiaga,189 Glenway Street,Dorchester,MA,2121,617-635-8710,617-635-8713,"PK,K,01,02,03,04,05,06,07,08"
Boston: TechBoston Academy,350657,Public School,Principal,Nora Vernazza,9 Peacevale Road,Dorchester,MA,2124,617-635-1615,617-635-1622,"06,07,08,09,10,11,12"
Boston: Thomas J Kenny,350328,Public School,Principal,Emily Bryan,19 Oakton Avenue,Dorchester,MA,2122,617-635-8789,617-635-8791,"PK,K,01,02,03,04,05"
Boston: UP Academy Holland,350167,Public School,Principal,Hillary Casson,85 Olney Street,Dorchester,MA,2121,617-635-8832,857-220-3023,"PK,K,01,02,03,04,05"
Boston: Warren-Prescott,350346,Public School,Principal,Michele Davis,50 School Street,Charlestown,MA,2129,617-635-8346,617-635-9454,"PK,K,01,02,03,04,05,06,07,08"
Boston: Washington Irving Middle,350445,Public School,Principal,Carmen Davis,105 Cummins Highway,Roslindale,MA,2131,617-635-8072,617-635-9363,"06,07,08"
Boston: William E Russell,350366,Public School,Principal,Tamara Blake,750 Columbia Road,Dorchester,MA,2125,617-635-8803,617-635-9768,"PK,K,01,02,03,04,05"
Boston: William Ellery Channing,350360,Public School,Principal,Carline Pignato,35 Sunnyside Street,Hyde Park,MA,2136,617-635-8722,617-635-8564,"PK,K,01,02,03,04,05"
Boston: William H Ohrenberger,350258,Public School,Principal,Naomi Krakow,175 West Boundary Road,West Roxbury,MA,2132,617-635-8157,617-635-8163,"03,04,05,06,07,08"
Boston: William McKinley,350363,Public School,Principal,Velecia Saunders,90 Warren Avenue,Boston,MA,2116,617-635-9976,617-635-9985,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Boston: William Monroe Trotter,350370,Public School,Principal,Sarita Thomas,135 Humboldt Avenue,Dorchester,MA,2121,617-635-8225,617-635-7915,"PK,K,01,02,03,04,05,06,07,08"
Boston: Winship Elementary,350374,Public School,Principal,Monakatellia Ford,54 Dighton Street,Brighton,MA,2135,617-635-8399,617-635-8403,"PK,K,01,02,03,04,05"
Boston: Young Achievers,350380,Public School,Principal,Sean Guthrie,20 Outlook Road,Mattapan,MA,2126,617-635-8623,617-635-9947,"PK,K,01,02,03,04,05,06,07,08"
Boston Collegiate Charter (District): Boston Collegiate Charter School,4490305,Charter School,Principal,Sarah Morland,11 Mayhew Street,Dorchester,MA,2125,617-265-1172,617-265-1176,"05,06,07,08,09,10,11,12"
Boston Green Academy Horace Mann Charter School (District): Boston Green Academy Horace Mann Charter School,4110305,Charter School,Principal,Matthew Holzer,20 Warren St.,Brighton,MA,2135,617-635-9860,617-635-9858,"06,07,08,09,10,11,12"
Boston Preparatory Charter Public (District): Boston Preparatory Charter Public School,4160305,Charter School,Principal,Eileen Callahan,885 River Street,Hyde Park,MA,2136,617-333-6688,617-333-6689,"06,07,08,09,10,11,12"
Boston Renaissance Charter Public (District): Boston Renaissance Charter Public School,4810550,Charter School,Principal,Alexandra Banhares-Buckmire,1415 Hyde Park Ave,Hyde Park,MA,2136,617-357-0900,617-357-0949,"PK,K,01,02,03,04,05,06"
Bourne: Bourne Middle School,360325,Public School,Principal,Melissa Stafford,77 Waterhouse Road,Bourne,MA,2532,508-759-0690,508-759-0695,"05,06,07,08"
Bourne: Bournedale Elementary School,360005,Public School,Principal,Elizabeth Carpenito,41 Ernest Valerie Road,Bournedale,MA,2532,508-759-7437,--,"PK,K,01,02,03,04"
Bourne: Peebles Elementary School,360010,Public School,Principal,Jane Norton,70 Trowbridge Rd,Bourne,MA,2532,508-759-0680,508-759-0619,"K,01,02,03,04"
Boxford: Spofford Pond,380013,Public School,Principal,Kathryn Castonguay,31 Spofford Road,Boxford,MA,1921,978-352-8616,978-352-7855,"03,04,05,06"
Boylston: Boylston Elementary,390005,Public School,Principal,Alfred Thompson,200 Sewall Street,Boylston,MA,1505,508-869-2200,508-869-6914,"PK,K,01,02,03,04,05"
Braintree: Archie T Morrison,400033,Public School,Principal,John Riordan,260 Liberty Street,Braintree,MA,2184,781-380-0230,781-380-0233,"K,01,02,03,04,05"
Braintree: Donald Ross,400050,Public School,Principal,Francis McGourty,20 Hayward Street,Braintree,MA,2184,781-380-0240,781-380-0243,"K,01,02,03,04,05"
Braintree: East Middle School,400305,Public School,Principal,John Sheehan,305 River St.,Braintree,MA,2184,781-380-0170,781-848-4522,"06,07,08"
Braintree: Highlands,400015,Public School,Principal,Nancy Pelletier,144 Wildwood Avenue,Braintree,MA,2184,781-380-0190,781-380-0128,"K,01,02,03,04,05"
Braintree: Hollis,400005,Public School,Principal,Timothy MacDonald,482 Washington Street,Braintree,MA,2184,781-380-0120,781-380-0122,"K,01,02,03,04,05"
Braintree: Liberty,400025,Public School,Principal,Tara Boening,49 Proctor Rd,Braintree,MA,2184,781-380-0210,781-380-0213,"01,02,03,04,05"
Braintree: Mary E Flaherty School,400020,Public School,Principal,Stacey Soto,99 Lakeside Dr,Braintree,MA,2184,781-380-0180,781-380-0184,"K,01,02,03,04,05"
Braintree: South Middle School,400310,Public School,Principal,Damon Rainie,232 Peach Street,Braintree,MA,2184,781-380-0160,781-380-0164,"06,07,08"
Brewster: Eddy Elementary,410010,Public School,Principal,Joanna Hughes,2298 Main Street,Brewster,MA,2631,508-896-4531,508-896-4529,"03,04,05"
Bridge Boston Charter School (District): Bridge Boston Charter School,4170205,Charter School,Principal,Jennifer Daly,435 Warren St.,Roxbury,MA,2119,857-229-1601,617-674-0861,"PK,K,01,02,03,04,05,06"
Bridgewater-Raynham: Bridgewater Middle School,6250320,Public School,Principal,M. Lynn Bastoni,415 Center St.,Bridgewater,MA,2324,508-697-6902,508-279-2233,"07,08"
Bridgewater-Raynham: Laliberte Elementary School,6250050,Public School,Principal,Dennis Bray,777 Pleasant Street,Raynham,MA,2767,508-824-2731,508-822-0580,"02,03,04"
Bridgewater-Raynham: Mitchell Elementary School,6250002,Public School,Principal,Heidi Letendre,166 Mt. Prospect Street,Bridgewater,MA,2324,508-279-2120,508-279-2133,"PK,K,01,02,03"
Bridgewater-Raynham: Raynham Middle School,6250315,Public School,Principal,Charlene Charette,420 Titicut Rd,Raynham,MA,2767,508-977-0504,508-977-0659,"05,06,07,08"
Bridgewater-Raynham: Williams Intermediate School,6250300,Public School,Principal,Nancy Kirk,200 South Street,Bridgewater,MA,2324,508-697-6968,508-697-6775,"04,05,06"
Brimfield: Brimfield Elementary,430005,Public School,Principal,Brian Ledbetter,22 Wales Rd,Brimfield,MA,1010,413-245-7337,413-245-4110,"PK,K,01,02,03,04,05,06"
Brockton: Ashfield Middle School,440421,Public School,Principal,Barbara Lovell,225 Coe Road,Brockton,MA,2302,508-580-7268,508-580-7072,"06,07,08"
Brockton: Brookfield,440010,Public School,Principal,Marguerite Masson,135 Jon Drive,Brockton,MA,2302,508-580-7257,508-580-7073,"K,01,02,03,04,05"
Brockton: Downey,440110,Public School,Principal,John Kelly,55 Electric Avenue,Brockton,MA,2302,508-580-7221,508-580-7075,"K,01,02,03,04,05"
Brockton: Dr W Arnone Community School,440001,Public School,Principal,Colleen Proudler,135 Belmont Street,Brockton,MA,2301,508-894-4440,508-894-4464,"K,01,02,03,04,05"
Brockton: East Middle School,440405,Public School,Principal,Kelly Silva,464 Centre Street,Brockton,MA,2302,508-580-7351,508-580-7090,"06,07,08"
Brockton: Edgar B Davis,440023,Public School,Principal,Darlene Campbell,380 Plain Street,Brockton,MA,2302,508-580-7360,508-580-7074,"K,01,02,03,04,05,06,07,08"
Brockton: Gilmore Elementary School,440055,Public School,Principal,Marybeth O'Brien,150 Clinton Street,Brockton,MA,2302,508-580-7235,508-580-7081,"K,01,02,03,04,05"
Brockton: Hancock,440045,Public School,Principal,Stephen Shaw,125 Pearl Street,Brockton,MA,2301,508-580-7252,508-580-7079,"K,01,02,03,04,05"
Brockton: Huntington Therapeutic Day School,440400,Public School,Principal,John Lander,1121 Warren Avenue,Brockton,MA,2301,508-580-7203,508-580-7083,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Brockton: John F Kennedy,440017,Public School,Principal,Brian Rogan,900 Ash Street,Brockton,MA,2301,508-580-7278,508-580-7082,"K,01,02,03,04,05"
Brockton: Joseph F. Plouffe Academy,440422,Public School,Principal,Michelle Nessralla,250 Crescent Street,Brockton,MA,2302,508-894-4301,508-894-4300,"06,07,08"
Brockton: Louis F Angelo Elementary,440065,Public School,Principal,Marcia Andrade Serpa,472 North Main Street,Brockton,MA,2301,508-894-4501,508-894-4500,"K,01,02,03,04,05"
Brockton: Manthala George Jr. School,440003,Public School,Principal,Natalie Pohl,180 Colonel Bell Drive,Brockton,MA,2301,508-580-7913,508-580-7917,"K,01,02,03,04,05"
Brockton: Mary E. Baker School,440002,Public School,Principal,Valerie Brower,45 Quincy Street,Brockton,MA,2302,508-894-4427,508-894-4472,"K,01,02,03,04,05"
Brockton: North Middle School,440410,Public School,Principal,Alison Ramsay,108 Oak Street,Brockton,MA,2301,508-580-7371,508-580-7088,"06,07,08"
Brockton: Oscar F Raymond,440078,Public School,Principal,Carol McGrath,125 Oak Street,Brockton,MA,2301,508-580-7364,508-580-7085,"K,01,02,03,04,05"
Brockton: South Middle School,440415,Public School,Principal,Diane Lynch,105 Keith Ave Ext,Brockton,MA,2301,508-580-7311,508-580-7089,"06,07,08"
Brockton: West Middle School,440420,Public School,Principal,Carlton Campbell,271 West St,Brockton,MA,2301,508-580-7381,508-580-7307,"06,07,08"
Brooke Charter School (District): Brooke Charter School,4280305,Charter School,Principal,Meghan Parquette,190 Cummins Highway,Roslindale,MA,2131,617-325-7977,617-325-2260,"K,01,02,03,04,05,06,07,08,09,10"
Brookfield: Brookfield Elementary,450005,Public School,Principal,Kathleen Hosterman,1 Central Street,Brookfield,MA,1506,508-867-8774,508-867-0320,"PK,K,01,02,03,04,05,06"
Brookline: Edith C Baker,460005,Public School,Principal,Mary Brown,205 Beverly Rd,Chestnut Hill,MA,2467,617-879-4500,617-879-4505,"K,01,02,03,04,05,06,07,08"
Brookline: Edward Devotion,460015,Public School,Principal,Monica Crowley,194 Boylston St,Brookline,MA,2445,617-879-4400,617-739-7501,"K,01,02,03,04,05,06,07,08"
Brookline: Heath,460025,Public School,Principal,Asa Sevelius,100 Eliot Street,Chestnut Hill,MA,2467,617-879-4570,617-739-7570,"PK,K,01,02,03,04,05,06,07,08"
Brookline: John D Runkle,460045,Public School,Principal,Genteen Jean-Michel,50 Druce Street,Brookline,MA,2445,617-879-4650,617-739-7675,"PK,K,01,02,03,04,05,06,07,08"
Brookline: Lawrence,460030,Public School,Principal,Allyson Hart,27 Francis Street,Brookline,MA,2446,617-879-4303,617-879-4390,"K,01,02,03,04,05,06,07,08"
Brookline: Michael Driscoll,460020,Public School,Principal,Sujan Talukdar,64 Westbourne Terrace,Brookline,MA,2446,617-879-4250,617-739-7502,"PK,K,01,02,03,04,05,06,07,08"
Brookline: Pierce,460040,Public School,Principal,Lesley Miller,50 School Street,Brookline,MA,2446,617-730-2583,617-264-6468,"K,01,02,03,04,05,06,07,08"
Brookline: William H Lincoln,460035,Public School,Principal,Brian Denitzio,19 Kennard Rd,Brookline,MA,2445,617-879-4600,617-739-7505,"K,01,02,03,04,05,06,07,08"
Burlington: Fox Hill,480007,Public School,Principal,Ellen Johnson,1 Fox Hill Rd,Burlington,MA,1803,781-270-1791,781-229-5909,"K,01,02,03,04,05"
Burlington: Francis Wyman Elementary,480035,Public School,Principal,Nicole Mcdonald,41 Terrace Hall Avenue,Burlington,MA,1803,781-270-1701,781-229-5667,"K,01,02,03,04,05"
Burlington: Marshall Simonds Middle,480303,Public School,Principal,Richard Connors,114 Winn Street,Burlington,MA,1803,781-270-1781,781-505-4980,"06,07,08"
Burlington: Memorial,480015,Public School,Principal,Deborah Dressler,125 Winn Street,Burlington,MA,1803,781-270-1721,781-229-5751,"K,01,02,03,04,05"
Burlington: Pine Glen Elementary,480020,Public School,Principal,John Lyons,1 Pine Glen Way,Burlington,MA,1803,781-270-1712,781-229-5793,"K,01,02,03,04,05"
Cambridge: Amigos School,490006,Public School,Principal,Sarah Bartels-marrero,15 Upton Street,Cambridge,MA,2139,617-349-6567,617-349-6833,"PK,K,01,02,03,04,05,06,07,08"
Cambridge: Cambridge Street Upper School,490305,Public School,Principal,Manuel Fernandez,158 Spring Street,Cambridge,MA,2141,617-349-3050,--,"06,07,08"
Cambridge: Cambridgeport,490007,Public School,Principal,Katie Charner-laird,89 Elm Street,Cambridge,MA,2139,617-349-6587,617-349-6511,"PK,K,01,02,03,04,05"
Cambridge: Fletcher/Maynard Academy,490090,Public School,Principal,Robin Harris,225 Windsor Street,Cambridge,MA,2139,617-349-6588,617-349-6595,"PK,K,01,02,03,04,05"
Cambridge: Graham and Parks,490080,Public School,Principal,Anthony Byers,44 Linnaean Street,Cambridge,MA,2138,617-349-6577,617-349-6590,"PK,K,01,02,03,04,05"
Cambridge: Haggerty,490020,Public School,Principal,Nancy Campbell,110 Cushing Street,Cambridge,MA,2138,617-349-6555,617-349-6034,"PK,K,01,02,03,04,05"
Cambridge: John M Tobin,490065,Public School,Principal,Jaime Frost,197 Vassal Lane,Cambridge,MA,2138,617-349-6600,617-349-6890,"PK,K,01,02,03,04,05"
Cambridge: Kennedy-Longfellow,490040,Public School,Principal,Christine Gerber,158 Spring Street,Cambridge,MA,2141,617-349-6841,617-349-3242,"PK,K,01,02,03,04,05"
Cambridge: King Open,490035,Public School,Principal,Darrell Williams,359 Broadway,Cambridge,MA,2139,617-349-6540,617-349-6548,"PK,K,01,02,03,04,05"
Cambridge: Maria L. Baldwin,490005,Public School,Principal,Heidi Cook,85 Oxford Street,Cambridge,MA,2138,617-349-6525,617-349-6893,"PK,K,01,02,03,04,05"
Cambridge: Martin Luther King Jr.,490030,Public School,Principal,Gerald Yung,102 Putnam Avenue,Cambridge,MA,2139,617-349-6562,617-349-6569,"PK,K,01,02,03,04,05"
Cambridge: Morse,490045,Public School,Principal,Patricia Beggy,40 Granite Street,Cambridge,MA,2139,617-349-6575,617-349-6576,"PK,K,01,02,03,04,05"
Cambridge: Peabody,490050,Public School,Principal,Jennifer Ford,70 Rindge Avenue,Cambridge,MA,2140,617-349-6530,617-349-6538,"PK,K,01,02,03,04,05"
Cambridge: Putnam Avenue Upper School,490310,Public School,Principal,Mirko Chardin,100 Putnam Avenue,Cambridge,MA,2139,617-349-7780,--,"06,07,08"
